Feature,Drift Severity,Training Time (mins)
Feature_Feature_1,Mild,1.0728836059570313e-07
Feature_Feature_3,Mild,8.344650268554688e-08
Feature_Feature_4,Mild,7.152557373046876e-08
Feature_Feature_6,Mild,6.357828776041668e-08
Feature_Feature_10,Mild,6.357828776041668e-08
Feature_Feature_11,Mild,6.75519307454427e-08
Feature_Feature_12,Mild,6.357828776041668e-08
Feature_Feature_13,Mild,6.357828776041668e-08
Feature_Feature_14,Mild,6.75519307454427e-08
Feature_Feature_15,Mild,6.75519307454427e-08
Feature_Feature_16,Mild,6.357828776041668e-08
Feature_Feature_17,Mild,6.357828776041668e-08
Feature_Feature_18,Mild,6.357828776041668e-08
Feature_Feature_19,Mild,6.357828776041668e-08
Feature_Feature_20,Mild,6.357828776041668e-08
Feature_Feature_21,Mild,6.357828776041668e-08
Feature_Feature_22,Mild,6.357828776041668e-08
Feature_Feature_23,Mild,6.75519307454427e-08
Feature_Feature_24,Mild,6.75519307454427e-08
Feature_Feature_25,Mild,1.1523564656575521e-07
Feature_Feature_26,Mild,6.357828776041668e-08
Feature_Feature_27,Mild,6.357828776041668e-08
Feature_Feature_28,Mild,6.357828776041668e-08
Feature_Feature_29,Mild,6.75519307454427e-08
Feature_Feature_30,Mild,7.152557373046876e-08
Feature_Feature_31,Mild,7.152557373046876e-08
Feature_Feature_32,Mild,6.75519307454427e-08
Feature_Feature_33,Mild,6.357828776041668e-08
Feature_Feature_34,Mild,6.357828776041668e-08
Feature_Feature_0,Moderate,30.875829462210337
Feature_Feature_2,Moderate,0.9165354053179424
Feature_Feature_5,Moderate,1.2894564429918924
Feature_Feature_7,Moderate,1.2784528692563375
Feature_Feature_8,Moderate,1.1674967805544536
Feature_Feature_9,Moderate,1.1322697718938193
