date,country,cases,deaths,popData2019,continentExp,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,walking,driving
2020-02-15,Argentina,0.0,0.0,44780675.0,America,1.0,-3.0,-3.0,4.0,-1.0,0.0,103.47,127.62
2020-02-15,Australia,0.0,0.0,25203200.0,Oceania,4.0,3.0,-2.0,3.0,3.0,0.0,110.5,93.51
2020-02-15,Austria,0.0,0.0,8858775.0,Europe,9.0,1.0,42.0,13.0,0.0,-2.0,165.31,158.95
2020-02-15,Belgium,0.0,0.0,11455519.0,Europe,3.0,2.0,29.0,9.0,1.0,-1.0,235.37,135.91
2020-02-15,Brazil,0.0,0.0,211049519.0,America,5.0,4.0,-5.0,8.0,6.0,0.0,135.5,123.46
2020-02-15,Bulgaria,0.0,0.0,7000039.0,Europe,-1.0,0.0,-7.0,2.0,-1.0,0.0,150.96,129.46
2020-02-15,Cambodia,0.0,0.0,16486542.0,Asia,2.0,0.0,2.0,-17.0,5.0,0.0,99.77,97.93
2020-02-15,Canada,1.0,0.0,37411038.0,America,4.0,2.0,10.0,3.0,1.0,0.0,152.65,125.71
2020-02-15,Chile,0.0,0.0,18952035.0,America,2.0,4.0,9.0,0.0,-3.0,0.0,93.08,133.92
2020-02-15,Colombia,0.0,0.0,50339443.0,America,4.0,5.0,-5.0,1.0,7.0,1.0,117.66,120.98
2020-02-15,Croatia,0.0,0.0,4076246.0,Europe,10.0,2.0,29.0,5.0,1.0,-2.0,140.59,122.94
2020-02-15,Czechia,0.0,0.0,10649800.0,Europe,13.0,8.0,37.0,14.0,3.0,-2.0,195.4,135.66
2020-02-15,Denmark,0.0,0.0,5806081.0,Europe,-2.0,-1.0,-4.0,2.0,-6.0,0.0,125.1,104.27
2020-02-15,Egypt,1.0,0.0,100388076.0,Africa,4.0,8.0,9.0,8.0,5.0,0.0,117.62,116.49
2020-02-15,Estonia,0.0,0.0,1324820.0,Europe,4.0,0.0,-8.0,-1.0,1.0,0.0,219.01,156.51
2020-02-15,Finland,0.0,0.0,5517919.0,Europe,3.0,0.0,-11.0,0.0,-2.0,0.0,111.39,138.63
2020-02-15,France,0.0,1.0,67012883.0,Europe,-2.0,-1.0,23.0,12.0,-2.0,-1.0,126.34,126.61
2020-02-15,Germany,0.0,0.0,83019213.0,Europe,6.0,1.0,45.0,10.0,0.0,-1.0,161.49,128.0
2020-02-15,Greece,0.0,0.0,10724599.0,Europe,-2.0,0.0,-12.0,-3.0,1.0,1.0,157.11,123.65
2020-02-15,Hungary,0.0,0.0,9772756.0,Europe,14.0,6.0,46.0,16.0,4.0,-2.0,213.12,137.99
2020-02-15,India,0.0,0.0,1366417756.0,Asia,1.0,2.0,3.0,3.0,5.0,0.0,128.87,141.22
2020-02-15,Indonesia,0.0,0.0,270625567.0,Asia,-2.0,-2.0,-8.0,1.0,5.0,1.0,125.67,142.78
2020-02-15,Ireland,0.0,0.0,4904240.0,Europe,-11.0,-6.0,-36.0,-12.0,-4.0,3.0,188.57,136.51
2020-02-15,Israel,0.0,0.0,8519373.0,Asia,13.0,9.0,64.0,14.0,1.0,-3.0,106.47,112.53
2020-02-15,Italy,0.0,0.0,60359546.0,Europe,3.0,-1.0,35.0,9.0,0.0,-1.0,194.34,145.29
2020-02-15,Japan,8.0,0.0,126860299.0,Asia,-1.0,4.0,7.0,1.0,4.0,0.0,138.76,131.54
2020-02-15,Latvia,0.0,0.0,1919968.0,Europe,4.0,4.0,1.0,6.0,-1.0,-1.0,156.03,134.01
2020-02-15,Lithuania,0.0,0.0,2794184.0,Europe,2.0,4.0,44.0,9.0,1.0,-1.0,153.64,123.28
2020-02-15,Luxembourg,0.0,0.0,613894.0,Europe,-2.0,-1.0,40.0,4.0,-2.0,-2.0,127.75,89.15
2020-02-15,Malaysia,2.0,0.0,31949789.0,Asia,-4.0,-3.0,0.0,-3.0,2.0,2.0,106.73,131.39
2020-02-15,Mexico,0.0,0.0,127575529.0,America,6.0,4.0,6.0,4.0,3.0,-1.0,154.55,148.02
2020-02-15,Morocco,0.0,0.0,36471766.0,Africa,1.0,-2.0,1.0,-3.0,5.0,1.0,165.91,146.06
2020-02-15,Netherlands,0.0,0.0,17282163.0,Europe,1.0,1.0,11.0,3.0,0.0,0.0,173.3,104.1
2020-02-15,New Zealand,0.0,0.0,4783062.0,Oceania,8.0,5.0,0.0,8.0,4.0,0.0,115.87,103.9
2020-02-15,Norway,0.0,0.0,5328212.0,Europe,1.0,1.0,26.0,7.0,-1.0,-1.0,151.0,128.46
2020-02-15,Philippines,0.0,0.0,108116622.0,Asia,7.0,4.0,-1.0,1.0,6.0,0.0,110.69,100.02
2020-02-15,Poland,0.0,0.0,37972812.0,Europe,7.0,-1.0,26.0,4.0,0.0,-1.0,151.64,126.18
2020-02-15,Portugal,0.0,0.0,10276617.0,Europe,4.0,0.0,21.0,9.0,1.0,-1.0,195.54,157.05
2020-02-15,Romania,0.0,0.0,19414458.0,Europe,8.0,5.0,-5.0,5.0,4.0,-1.0,78.61,83.25
2020-02-15,Russia,0.0,0.0,145872260.0,Europe,10.0,8.0,1.0,8.0,1.0,-1.0,122.75,105.11
2020-02-15,Saudi Arabia,0.0,0.0,34268529.0,Asia,-5.0,0.0,-1.0,-6.0,0.0,2.0,121.28,113.37
2020-02-15,Singapore,9.0,0.0,5804343.0,Asia,-14.0,-9.0,-10.0,-17.0,-4.0,8.0,84.86,85.45
2020-02-15,Slovakia,0.0,0.0,5450421.0,Europe,11.0,5.0,41.0,12.0,3.0,-2.0,78.75,77.05
2020-02-15,Slovenia,0.0,0.0,2080908.0,Europe,11.0,5.0,41.0,22.0,7.0,-3.0,139.13,119.69
2020-02-15,South Africa,0.0,0.0,58558267.0,Africa,4.0,0.0,-2.0,-2.0,1.0,-2.0,193.21,138.04
2020-02-15,South Korea,0.0,0.0,51225321.0,Asia,-4.0,0.0,3.0,-6.0,1.0,3.0,115.82,110.5
2020-02-15,Spain,0.0,0.0,46937060.0,Europe,2.0,-1.0,26.0,8.0,0.0,-2.0,192.6,151.96
2020-02-15,Sweden,0.0,0.0,10230185.0,Europe,2.0,0.0,3.0,4.0,-2.0,0.0,133.07,139.42
2020-02-15,Switzerland,0.0,0.0,8544527.0,Europe,-1.0,-1.0,31.0,6.0,-2.0,-1.0,136.98,137.92
2020-02-15,Taiwan,0.0,0.0,23773881.0,Asia,-9.0,-4.0,-2.0,-10.0,56.0,-1.0,126.31,135.71
2020-02-15,Thailand,1.0,0.0,69625581.0,Asia,-3.0,1.0,-8.0,-2.0,7.0,1.0,106.33,132.17
2020-02-15,Turkey,0.0,0.0,82003882.0,Europe,2.0,3.0,-11.0,-4.0,7.0,1.0,143.77,134.93
2020-02-15,Ukraine,0.0,0.0,43993643.0,Europe,6.0,3.0,6.0,5.0,0.0,0.0,115.13,108.1
2020-02-15,United Arab Emirates,0.0,0.0,9770526.0,Asia,0.0,4.0,5.0,0.0,2.0,1.0,109.75,114.35
2020-02-15,United Kingdom,0.0,0.0,66647112.0,Europe,-12.0,-7.0,-35.0,-12.0,-4.0,2.0,152.82,109.55
2020-02-15,United States,0.0,0.0,329064917.0,America,6.0,2.0,15.0,3.0,2.0,-1.0,158.55,132.51
2020-02-15,Uruguay,0.0,0.0,3461731.0,America,2.0,-3.0,0.0,0.0,2.0,-1.0,88.1,123.6
2020-02-15,Vietnam,0.0,0.0,96462108.0,Asia,-6.0,-4.0,-11.0,-9.0,-4.0,7.0,115.14,116.4
2020-02-16,Argentina,0.0,0.0,44780675.0,America,-6.0,-6.0,-14.0,-2.0,-4.0,2.0,69.12,88.2
2020-02-16,Australia,0.0,0.0,25203200.0,Oceania,3.0,5.0,9.0,3.0,-1.0,0.0,103.76,98.27
2020-02-16,Austria,0.0,0.0,8858775.0,Europe,15.0,21.0,42.0,12.0,1.0,-2.0,113.75,120.22
2020-02-16,Belgium,0.0,0.0,11455519.0,Europe,-7.0,-3.0,-30.0,-3.0,-3.0,1.0,135.03,110.6
2020-02-16,Brazil,0.0,0.0,211049519.0,America,2.0,3.0,-13.0,3.0,0.0,1.0,97.46,92.31
2020-02-16,Bulgaria,0.0,0.0,7000039.0,Europe,17.0,7.0,68.0,16.0,4.0,-3.0,126.15,123.85
2020-02-16,Cambodia,0.0,0.0,16486542.0,Asia,2.0,0.0,2.0,-19.0,3.0,2.0,91.39,89.71
2020-02-16,Canada,0.0,0.0,37411038.0,America,13.0,8.0,41.0,4.0,0.0,-2.0,125.23,103.84
