date,country,cases,deaths,popData2020,continentExp,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,walking,driving
2021-03-01,Austria,456112,8414,8901064,Europe,-34.0,-1.0,12.0,-31.0,-26.0,7.0,80.34,89.13
2021-03-01,Belgium,777332,22282,11522440,Europe,-30.0,4.0,25.0,-31.0,-25.0,10.0,99.1,94.83
2021-03-01,Bulgaria,247038,10191,6951482,Europe,-26.0,3.0,-11.0,-5.0,-25.0,2.0,99.58,81.01
2021-03-01,Croatia,242973,5526,4058165,Europe,-17.0,9.0,38.0,-18.0,-13.0,1.0,106.52,79.95
2021-03-01,Czechia,1240051,20469,10693939,Europe,-56.0,-10.0,-19.0,-43.0,-33.0,15.0,46.11,63.62
2021-03-01,Denmark,211195,2361,5822763,Europe,-12.0,-4.0,51.0,-42.0,-34.0,10.0,114.23,107.89
2021-03-01,Estonia,66628,598,1328976,Europe,-21.0,-2.0,-4.0,-34.0,-28.0,11.0,90.02,85.53
2021-03-01,Finland,57672,791,5525292,Europe,-15.0,2.0,28.0,-42.0,-33.0,10.0,96.84,106.38
2021-03-01,France,3645305,86454,67320216,Europe,-34.0,-2.0,36.0,-29.0,-32.0,9.0,72.64,93.15
2021-03-01,Germany,2447068,70105,83166711,Europe,-36.0,1.0,34.0,-34.0,-24.0,9.0,95.21,87.82
2021-03-01,Greece,191100,6504,10718565,Europe,-46.0,7.0,33.0,-44.0,-31.0,8.0,72.28,67.35
2021-03-01,Hungary,432925,15058,9769526,Europe,-27.0,-2.0,12.0,-29.0,-23.0,9.0,61.48,84.85
2021-03-01,Ireland,219592,4319,4964440,Europe,-43.0,0.0,29.0,-61.0,-45.0,16.0,45.6,54.78
2021-03-01,Italy,2925265,97699,59641488,Europe,-30.0,0.0,4.0,-36.0,-23.0,9.0,62.17,75.78
2021-03-01,Latvia,86186,1618,1907675,Europe,-32.0,-14.0,12.0,-42.0,-35.0,11.0,74.88,70.58
2021-03-01,Lithuania,197343,3244,2794090,Europe,-48.0,7.0,-2.0,-42.0,-31.0,11.0,98.41,71.31
2021-03-01,Luxembourg,55425,638,626108,Europe,-31.0,-4.0,10.0,-26.0,-26.0,10.0,103.51,82.1
2021-03-01,Netherlands,1087303,15544,17407585,Europe,-41.0,-5.0,28.0,-51.0,-33.0,12.0,76.2,76.88
2021-03-01,Norway,70034,622,5367580,Europe,-13.0,0.0,10.0,-43.0,-28.0,9.0,97.71,101.07
2021-03-01,Poland,1706986,43769,37958138,Europe,-23.0,-3.0,-11.0,-34.0,-20.0,7.0,81.65,89.14
2021-03-01,Portugal,804562,16317,10295909,Europe,-53.0,-3.0,-36.0,-58.0,-42.0,19.0,35.8,53.74
2021-03-01,Romania,801994,20350,19328838,Europe,-23.0,5.0,-30.0,-28.0,-25.0,3.0,102.63,82.45
2021-03-01,Slovakia,595876,7189,5457873,Europe,-45.0,1.0,21.0,-43.0,-33.0,11.0,94.43,72.65
2021-03-01,Slovenia,190081,4111,2095861,Europe,-36.0,-7.0,29.0,-29.0,-23.0,7.0,113.24,85.92
2021-03-01,Spain,15978,467,47332614,Europe,-35.0,-9.0,-8.0,-30.0,-29.0,8.0,58.46,72.94
2021-03-01,Sweden,668985,13080,10327589,Europe,-18.0,-5.0,28.0,-41.0,-32.0,10.0,97.73,105.49
2021-03-02,Austria,1148,25,8901064,Europe,-37.0,0.0,21.0,-30.0,-26.0,8.0,82.42,89.07
2021-03-02,Belgium,2795,25,11522440,Europe,-28.0,7.0,63.0,-28.0,-25.0,10.0,111.98,96.5
2021-03-02,Bulgaria,2588,117,6951482,Europe,-23.0,9.0,5.0,-5.0,-25.0,1.0,115.1,93.38
2021-03-02,Croatia,91,11,4058165,Europe,-20.0,7.0,39.0,-18.0,-13.0,2.0,99.98,82.51
2021-03-02,Czechia,12191,232,10693939,Europe,-54.0,-6.0,-9.0,-43.0,-35.0,16.0,46.22,64.68
2021-03-02,Denmark,497,4,5822763,Europe,-17.0,-2.0,52.0,-42.0,-33.0,11.0,113.79,108.58
2021-03-02,Estonia,1111,0,1328976,Europe,-19.0,-1.0,9.0,-32.0,-29.0,10.0,100.52,86.69
2021-03-02,Finland,392,2,5525292,Europe,-18.0,0.0,38.0,-43.0,-33.0,10.0,99.13,106.92
2021-03-02,France,27422,375,67320216,Europe,-34.0,1.0,34.0,-28.0,-31.0,10.0,78.0,95.41
2021-03-02,Germany,3943,358,83166711,Europe,-38.0,0.0,62.0,-32.0,-24.0,10.0,99.17,89.95
2021-03-02,Greece,1170,30,10718565,Europe,-52.0,7.0,2.0,-48.0,-32.0,9.0,75.48,70.23
2021-03-02,Hungary,2764,130,9769526,Europe,-25.0,3.0,26.0,-28.0,-24.0,9.0,64.28,89.11
2021-03-02,Ireland,681,0,4964440,Europe,-43.0,2.0,21.0,-61.0,-44.0,16.0,44.55,57.04
